method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
rustgraph,bitcoin-alpha,clique,0.1,0.1,0.16,0.6
rustgraph,bitcoin-alpha,clique,0.1,0.5,0.232,0.61
rustgraph,bitcoin-alpha,clique,0.1,1,0.243,0.62
rustgraph,bitcoin-otc,random,0.01,0.1,0.294,0.93
rustgraph,bitcoin-otc,random,0.01,0.5,0.26,0.9
rustgraph,bitcoin-otc,random,0.01,1,0.13,0.93
rustgraph,bitcoin-otc,random,0.05,0.1,0.378,0.92
rustgraph,bitcoin-otc,random,0.05,0.5,0.472,0.91
rustgraph,bitcoin-otc,random,0.05,1,0.536,0.91
rustgraph,bitcoin-otc,random,0.1,0.1,0.534,0.92
rustgraph,bitcoin-otc,random,0.1,0.5,0.534,0.92
rustgraph,bitcoin-otc,random,0.1,1,0.564,0.92
rustgraph,bitcoin-otc,bridge,0.01,0.1,0.129,0.95
rustgraph,bitcoin-otc,bridge,0.01,0.5,0.139,0.91
rustgraph,bitcoin-otc,bridge,0.01,1,0.179,0.92
rustgraph,bitcoin-otc,bridge,0.05,0.1,0.38,0.85
rustgraph,bitcoin-otc,bridge,0.05,0.5,0.34,0.85
rustgraph,bitcoin-otc,bridge,0.05,1,0.32,0.85
rustgraph,bitcoin-otc,bridge,0.1,0.1,0.41,0.82
rustgraph,bitcoin-otc,bridge,0.1,0.5,0.33,0.8
rustgraph,bitcoin-otc,bridge,0.1,1,0.308,0.8
rustgraph,bitcoin-otc,path,0.01,0.1,0.016,0.72
rustgraph,bitcoin-otc,path,0.01,0.5,0.019,0.73
rustgraph,bitcoin-otc,path,0.01,1,0.023,0.77
rustgraph,bitcoin-otc,path,0.05,0.1,0.083,0.68
rustgraph,bitcoin-otc,path,0.05,0.5,0.099,0.75
rustgraph,bitcoin-otc,path,0.05,1,0.14,0.77
rustgraph,bitcoin-otc,path,0.1,0.1,0.154,0.68
rustgraph,bitcoin-otc,path,0.1,0.5,0.23,0.75
rustgraph,bitcoin-otc,path,0.1,1,0.232,0.8
rustgraph,bitcoin-otc,burst,0.01,0.1,0.695,0.99
rustgraph,bitcoin-otc,burst,0.01,0.5,0.46,0.98
rustgraph,bitcoin-otc,burst,0.01,1,0.364,0.92
rustgraph,bitcoin-otc,burst,0.05,0.1,0.378,0.88
rustgraph,bitcoin-otc,burst,0.05,0.5,0.559,0.96
rustgraph,bitcoin-otc,burst,0.05,1,0.551,0.94
rustgraph,bitcoin-otc,burst,0.1,0.1,0.69,0.92
rustgraph,bitcoin-otc,burst,0.1,0.5,0.59,0.91
rustgraph,bitcoin-otc,burst,0.1,1,0.665,0.88
rustgraph,bitcoin-otc,clique,0.01,0.1,0.076,0.75
rustgraph,bitcoin-otc,clique,0.01,0.5,0.07,0.72
rustgraph,bitcoin-otc,clique,0.01,1,0.1,0.69
rustgraph,bitcoin-otc,clique,0.05,0.1,0.089,0.75
rustgraph,bitcoin-otc,clique,0.05,0.5,0.09,0.65
rustgraph,bitcoin-otc,clique,0.05,1,0.118,0.62
rustgraph,bitcoin-otc,clique,0.1,0.1,0.15,0.71
rustgraph,bitcoin-otc,clique,0.1,0.5,0.17,0.68
rustgraph,bitcoin-otc,clique,0.1,1,0.15,0.66
rustgraph,digg-homo,random,0.01,0.1,0.032,0.78
rustgraph,digg-homo,random,0.01,0.5,0.031,0.76
rustgraph,digg-homo,random,0.01,1,0.033,0.79
rustgraph,digg-homo,random,0.05,0.1,0.139,0.77
rustgraph,digg-homo,random,0.05,0.5,0.137,0.78
rustgraph,digg-homo,random,0.05,1,0.137,0.77
rustgraph,digg-homo,random,0.1,0.1,0.25,0.78
rustgraph,digg-homo,random,0.1,0.5,0.24,0.78
rustgraph,digg-homo,random,0.1,1,0.231,0.77
rustgraph,digg-homo,bridge,0.01,0.1,0.025,0.72
rustgraph,digg-homo,bridge,0.01,0.5,0.027,0.75
rustgraph,digg-homo,bridge,0.01,1,0.026,0.76
rustgraph,digg-homo,bridge,0.05,0.1,0.06,0.58
rustgraph,digg-homo,bridge,0.05,0.5,0.066,0.6
rustgraph,digg-homo,bridge,0.05,1,0.081,0.63
rustgraph,digg-homo,bridge,0.1,0.1,0.13,0.57
rustgraph,digg-homo,bridge,0.1,0.5,0.122,0.55
rustgraph,digg-homo,bridge,0.1,1,0.104,0.55
rustgraph,digg-homo,path,0.01,0.1,0.006,0.25
rustgraph,digg-homo,path,0.01,0.5,0.008,0.33
rustgraph,digg-homo,path,0.01,1,0.008,0.4
rustgraph,digg-homo,path,0.05,0.1,0.031,0.28
rustgraph,digg-homo,path,0.05,0.5,0.035,0.37
rustgraph,digg-homo,path,0.05,1,0.037,0.4
rustgraph,digg-homo,path,0.1,0.1,0.06,0.29
rustgraph,digg-homo,path,0.1,0.5,0.065,0.36
rustgraph,digg-homo,path,0.1,1,0.07,0.39
rustgraph,digg-homo,burst,0.01,0.1,0.015,0.65
rustgraph,digg-homo,burst,0.01,0.5,0.025,0.77
rustgraph,digg-homo,burst,0.01,1,0.045,0.83
rustgraph,digg-homo,burst,0.05,0.1,0.12,0.75
rustgraph,digg-homo,burst,0.05,0.5,0.16,0.78
rustgraph,digg-homo,burst,0.05,1,0.123,0.76
rustgraph,digg-homo,burst,0.1,0.1,0.25,0.78
rustgraph,digg-homo,burst,0.1,0.5,0.22,0.77
rustgraph,digg-homo,burst,0.1,1,0.244,0.77
rustgraph,digg-homo,clique,0.01,0.1,0.01,0.31
rustgraph,digg-homo,clique,0.01,0.5,0.009,0.31
rustgraph,digg-homo,clique,0.01,1,0.01,0.35
rustgraph,digg-homo,clique,0.05,0.1,0.035,0.35
rustgraph,digg-homo,clique,0.05,0.5,0.034,0.32
rustgraph,digg-homo,clique,0.05,1,0.036,0.36
rustgraph,digg-homo,clique,0.1,0.1,0.064,0.32
rustgraph,digg-homo,clique,0.1,0.5,0.064,0.33
rustgraph,digg-homo,clique,0.1,1,0.067,0.36
rustgraph,email-dnc,random,0.01,0.1,0.191,0.92
rustgraph,email-dnc,random,0.01,0.5,0.14,0.87
rustgraph,email-dnc,random,0.01,1,0.171,0.87
rustgraph,email-dnc,random,0.05,0.1,0.303,0.88
rustgraph,email-dnc,random,0.05,0.5,0.35,0.88
rustgraph,email-dnc,random,0.05,1,0.368,0.88
rustgraph,email-dnc,random,0.1,0.1,0.481,0.86
rustgraph,email-dnc,random,0.1,0.5,0.415,0.86
rustgraph,email-dnc,random,0.1,1,0.493,0.89
rustgraph,email-dnc,bridge,0.01,0.1,0.172,0.91
rustgraph,email-dnc,bridge,0.01,0.5,0.1,0.83
rustgraph,email-dnc,bridge,0.01,1,0.095,0.88
rustgraph,email-dnc,bridge,0.05,0.1,0.115,0.74
rustgraph,email-dnc,bridge,0.05,0.5,0.18,0.78
rustgraph,email-dnc,bridge,0.05,1,0.143,0.76
rustgraph,email-dnc,bridge,0.1,0.1,0.23,0.76
rustgraph,email-dnc,bridge,0.1,0.5,0.21,0.75
rustgraph,email-dnc,bridge,0.1,1,0.217,0.76
rustgraph,email-dnc,path,0.01,0.1,0.03,0.6
rustgraph,email-dnc,path,0.01,0.5,0.02,0.64
rustgraph,email-dnc,path,0.01,1,0.037,0.73
rustgraph,email-dnc,path,0.05,0.1,0.07,0.62
rustgraph,email-dnc,path,0.05,0.5,0.122,0.71
rustgraph,email-dnc,path,0.05,1,0.103,0.71
rustgraph,email-dnc,path,0.1,0.1,0.13,0.66
rustgraph,email-dnc,path,0.1,0.5,0.142,0.69
rustgraph,email-dnc,path,0.1,1,0.173,0.72
rustgraph,email-dnc,burst,0.01,0.1,0.095,0.94
rustgraph,email-dnc,burst,0.01,0.5,0.06,0.9
rustgraph,email-dnc,burst,0.01,1,0.365,0.98
rustgraph,email-dnc,burst,0.05,0.1,0.26,0.75
rustgraph,email-dnc,burst,0.05,0.5,0.25,0.88
rustgraph,email-dnc,burst,0.05,1,0.452,0.93
rustgraph,email-dnc,burst,0.1,0.1,0.694,0.97
rustgraph,email-dnc,burst,0.1,0.5,0.674,0.88
rustgraph,email-dnc,burst,0.1,1,0.443,0.9
rustgraph,email-dnc,clique,0.01,0.1,0.021,0.63
rustgraph,email-dnc,clique,0.01,0.5,0.053,0.75
rustgraph,email-dnc,clique,0.01,1,0.037,0.79
rustgraph,email-dnc,clique,0.05,0.1,0.103,0.72
rustgraph,email-dnc,clique,0.05,0.5,0.09,0.75
rustgraph,email-dnc,clique,0.05,1,0.125,0.79
rustgraph,email-dnc,clique,0.1,0.1,0.164,0.74
rustgraph,email-dnc,clique,0.1,0.5,0.18,0.74
rustgraph,email-dnc,clique,0.1,1,0.216,0.75
rustgraph,uc-social,random,0.01,0.1,0.04,0.75
rustgraph,uc-social,random,0.01,0.5,0.03,0.7
rustgraph,uc-social,random,0.01,1,0.03,0.7
rustgraph,uc-social,random,0.05,0.1,0.15,0.75
rustgraph,uc-social,random,0.05,0.5,0.16,0.78
rustgraph,uc-social,random,0.05,1,0.166,0.79
rustgraph,uc-social,random,0.1,0.1,0.245,0.75
rustgraph,uc-social,random,0.1,0.5,0.24,0.75
rustgraph,uc-social,random,0.1,1,0.23,0.75
rustgraph,uc-social,bridge,0.01,0.1,0.03,0.74
rustgraph,uc-social,bridge,0.01,0.5,0.033,0.72
rustgraph,uc-social,bridge,0.01,1,0.05,0.74
rustgraph,uc-social,bridge,0.05,0.1,0.09,0.71
rustgraph,uc-social,bridge,0.05,0.5,0.11,0.73
rustgraph,uc-social,bridge,0.05,1,0.125,0.73
rustgraph,uc-social,bridge,0.1,0.1,0.19,0.71
rustgraph,uc-social,bridge,0.1,0.5,0.17,0.68
rustgraph,uc-social,bridge,0.1,1,0.17,0.68
rustgraph,uc-social,path,0.01,0.1,0.012,0.61
rustgraph,uc-social,path,0.01,0.5,0.02,0.62
rustgraph,uc-social,path,0.01,1,0.02,0.62
rustgraph,uc-social,path,0.05,0.1,0.051,0.58
rustgraph,uc-social,path,0.05,0.5,0.06,0.58
rustgraph,uc-social,path,0.05,1,0.098,0.6
rustgraph,uc-social,path,0.1,0.1,0.11,0.58
rustgraph,uc-social,path,0.1,0.5,0.13,0.6
rustgraph,uc-social,path,0.1,1,0.12,0.6
