method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
addgraph,bitcoin-otc,random,0.01,0.1,0.052,0.84
addgraph,bitcoin-otc,random,0.01,0.5,0.052,0.88
addgraph,bitcoin-otc,random,0.01,1,0.04,0.86
addgraph,bitcoin-otc,random,0.05,0.1,0.23,0.89
addgraph,bitcoin-otc,random,0.05,0.5,0.151,0.86
addgraph,bitcoin-otc,random,0.05,1,0.191,0.87
addgraph,bitcoin-otc,random,0.1,0.1,0.34,0.87
addgraph,bitcoin-otc,random,0.1,0.5,0.332,0.86
addgraph,bitcoin-otc,random,0.1,1,0.315,0.88
addgraph,bitcoin-otc,bridge,0.01,0.1,0.05,0.85
addgraph,bitcoin-otc,bridge,0.01,0.5,0.051,0.86
addgraph,bitcoin-otc,bridge,0.01,1,0.043,0.87
addgraph,bitcoin-otc,bridge,0.05,0.1,0.16,0.77
addgraph,bitcoin-otc,bridge,0.05,0.5,0.162,0.78
addgraph,bitcoin-otc,bridge,0.05,1,0.17,0.78
addgraph,bitcoin-otc,bridge,0.1,0.1,0.172,0.66
addgraph,bitcoin-otc,bridge,0.1,0.5,0.18,0.69
addgraph,bitcoin-otc,bridge,0.1,1,0.143,0.62
addgraph,bitcoin-otc,path,0.01,0.1,0.06,0.89
addgraph,bitcoin-otc,path,0.01,0.5,0.04,0.84
addgraph,bitcoin-otc,path,0.01,1,0.05,0.83
addgraph,bitcoin-otc,path,0.05,0.1,0.19,0.86
addgraph,bitcoin-otc,path,0.05,0.5,0.17,0.84
addgraph,bitcoin-otc,path,0.05,1,0.161,0.83
addgraph,bitcoin-otc,path,0.1,0.1,0.374,0.89
addgraph,bitcoin-otc,path,0.1,0.5,0.312,0.86
addgraph,bitcoin-otc,path,0.1,1,0.33,0.86
addgraph,bitcoin-otc,burst,0.01,0.1,0.17,0.93
addgraph,bitcoin-otc,burst,0.01,0.5,0.03,0.69
addgraph,bitcoin-otc,burst,0.01,1,0.023,0.65
addgraph,bitcoin-otc,burst,0.05,0.1,0.2,0.81
addgraph,bitcoin-otc,burst,0.05,0.5,0.09,0.7
addgraph,bitcoin-otc,burst,0.05,1,0.071,0.62
addgraph,bitcoin-otc,burst,0.1,0.1,0.261,0.85
addgraph,bitcoin-otc,burst,0.1,0.5,0.171,0.76
addgraph,bitcoin-otc,burst,0.1,1,0.12,0.63
addgraph,bitcoin-otc,clique,0.01,0.1,0.063,0.9
addgraph,bitcoin-otc,clique,0.01,0.5,0.01,0.39
addgraph,bitcoin-otc,clique,0.01,1,0.01,0.39
addgraph,bitcoin-otc,clique,0.05,0.1,0.363,0.9
addgraph,bitcoin-otc,clique,0.05,0.5,0.064,0.55
addgraph,bitcoin-otc,clique,0.05,1,0.041,0.34
addgraph,bitcoin-otc,clique,0.1,0.1,0.39,0.85
addgraph,bitcoin-otc,clique,0.1,0.5,0.095,0.5
addgraph,bitcoin-otc,clique,0.1,1,0.08,0.39
addgraph,digg-homo,random,0.01,0.1,0.024,0.77
addgraph,digg-homo,random,0.01,0.5,0.028,0.78
addgraph,digg-homo,random,0.01,1,0.029,0.81
addgraph,digg-homo,random,0.05,0.1,0.106,0.76
addgraph,digg-homo,random,0.05,0.5,0.112,0.77
addgraph,digg-homo,random,0.05,1,0.119,0.77
addgraph,digg-homo,random,0.1,0.1,0.202,0.77
addgraph,digg-homo,random,0.1,0.5,0.193,0.76
addgraph,digg-homo,random,0.1,1,0.206,0.78
addgraph,digg-homo,bridge,0.01,0.1,0.021,0.73
addgraph,digg-homo,bridge,0.01,0.5,0.02,0.74
addgraph,digg-homo,bridge,0.01,1,0.016,0.7
addgraph,digg-homo,bridge,0.05,0.1,0.043,0.49
addgraph,digg-homo,bridge,0.05,0.5,0.047,0.53
addgraph,digg-homo,bridge,0.05,1,0.042,0.46
addgraph,digg-homo,bridge,0.1,0.1,0.068,0.39
addgraph,digg-homo,bridge,0.1,0.5,0.068,0.39
addgraph,digg-homo,bridge,0.1,1,0.068,0.38
addgraph,digg-homo,path,0.01,0.1,0.023,0.75
addgraph,digg-homo,path,0.01,0.5,0.022,0.76
addgraph,digg-homo,path,0.01,1,0.021,0.73
addgraph,digg-homo,path,0.05,0.1,0.106,0.77
addgraph,digg-homo,path,0.05,0.5,0.104,0.75
addgraph,digg-homo,path,0.05,1,0.086,0.72
addgraph,digg-homo,path,0.1,0.1,0.21,0.78
addgraph,digg-homo,path,0.1,0.5,0.168,0.73
addgraph,digg-homo,path,0.1,1,0.161,0.71
addgraph,digg-homo,burst,0.01,0.1,0.025,0.75
addgraph,digg-homo,burst,0.01,0.5,0.012,0.6
addgraph,digg-homo,burst,0.01,1,0.011,0.57
addgraph,digg-homo,burst,0.05,0.1,0.062,0.64
addgraph,digg-homo,burst,0.05,0.5,0.054,0.58
addgraph,digg-homo,burst,0.05,1,0.057,0.62
addgraph,digg-homo,burst,0.1,0.1,0.177,0.74
addgraph,digg-homo,burst,0.1,0.5,0.104,0.6
addgraph,digg-homo,burst,0.1,1,0.094,0.55
addgraph,digg-homo,clique,0.01,0.1,0.028,0.72
addgraph,digg-homo,clique,0.01,0.5,0.012,0.43
addgraph,digg-homo,clique,0.01,1,0.011,0.38
addgraph,digg-homo,clique,0.05,0.1,0.101,0.7
addgraph,digg-homo,clique,0.05,0.5,0.053,0.52
addgraph,digg-homo,clique,0.05,1,0.055,0.58
addgraph,digg-homo,clique,0.1,0.1,0.209,0.78
addgraph,digg-homo,clique,0.1,0.5,0.095,0.55
addgraph,digg-homo,clique,0.1,1,0.081,0.44
addgraph,email-dnc,random,0.01,0.1,0.03,0.73
addgraph,email-dnc,random,0.01,0.5,0.081,0.91
addgraph,email-dnc,random,0.01,1,0.054,0.83
addgraph,email-dnc,random,0.05,0.1,0.25,0.87
addgraph,email-dnc,random,0.05,0.5,0.2,0.84
addgraph,email-dnc,random,0.05,1,0.24,0.86
addgraph,email-dnc,random,0.1,0.1,0.362,0.8
addgraph,email-dnc,random,0.1,0.5,0.333,0.81
addgraph,email-dnc,random,0.1,1,0.3,0.78
addgraph,email-dnc,bridge,0.01,0.1,0.03,0.76
addgraph,email-dnc,bridge,0.01,0.5,0.03,0.75
addgraph,email-dnc,bridge,0.01,1,0.03,0.72
addgraph,email-dnc,bridge,0.05,0.1,0.07,0.61
addgraph,email-dnc,bridge,0.05,0.5,0.073,0.6
addgraph,email-dnc,bridge,0.05,1,0.08,0.65
addgraph,email-dnc,bridge,0.1,0.1,0.12,0.58
addgraph,email-dnc,bridge,0.1,0.5,0.1,0.48
addgraph,email-dnc,bridge,0.1,1,0.14,0.62
addgraph,email-dnc,path,0.01,0.1,0.131,0.94
addgraph,email-dnc,path,0.01,0.5,0.07,0.81
addgraph,email-dnc,path,0.01,1,0.064,0.86
addgraph,email-dnc,path,0.05,0.1,0.31,0.9
addgraph,email-dnc,path,0.05,0.5,0.191,0.81
addgraph,email-dnc,path,0.05,1,0.253,0.87
