method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
taddy,bitcoin-otc,random,0.05,0.1,0.513,0.95
taddy,bitcoin-otc,random,0.05,0.5,0.571,0.95
taddy,bitcoin-otc,random,0.05,1,0.578,0.96
taddy,bitcoin-otc,random,0.1,0.1,0.745,0.95
taddy,bitcoin-otc,random,0.1,0.5,0.655,0.94
taddy,bitcoin-otc,random,0.1,1,0.705,0.96
taddy,bitcoin-otc,bridge,0.01,0.1,0.29,0.95
taddy,bitcoin-otc,bridge,0.01,0.5,0.323,0.97
taddy,bitcoin-otc,bridge,0.01,1,0.382,0.96
taddy,bitcoin-otc,bridge,0.05,0.1,0.454,0.93
taddy,bitcoin-otc,bridge,0.05,0.5,0.49,0.93
taddy,bitcoin-otc,bridge,0.05,1,0.488,0.93
taddy,bitcoin-otc,bridge,0.1,0.1,0.607,0.9
taddy,bitcoin-otc,bridge,0.1,0.5,0.631,0.89
taddy,bitcoin-otc,bridge,0.1,1,0.582,0.91
taddy,bitcoin-otc,path,0.01,0.1,0.14,0.88
taddy,bitcoin-otc,path,0.01,0.5,0.1,0.89
taddy,bitcoin-otc,path,0.01,1,0.181,0.91
taddy,bitcoin-otc,path,0.05,0.1,0.291,0.91
taddy,bitcoin-otc,path,0.05,0.5,0.404,0.92
taddy,bitcoin-otc,path,0.05,1,0.44,0.93
taddy,bitcoin-otc,path,0.1,0.1,0.446,0.89
taddy,bitcoin-otc,path,0.1,0.5,0.544,0.93
taddy,bitcoin-otc,path,0.1,1,0.564,0.92
taddy,bitcoin-otc,burst,0.01,0.1,0.14,0.9
taddy,bitcoin-otc,burst,0.01,0.5,0.103,0.85
taddy,bitcoin-otc,burst,0.01,1,0.049,0.81
taddy,bitcoin-otc,burst,0.05,0.1,0.093,0.66
taddy,bitcoin-otc,burst,0.05,0.5,0.37,0.78
taddy,bitcoin-otc,burst,0.05,1,0.294,0.81
taddy,bitcoin-otc,burst,0.1,0.1,0.22,0.8
taddy,bitcoin-otc,burst,0.1,0.5,0.26,0.82
taddy,bitcoin-otc,burst,0.1,1,0.378,0.82
taddy,bitcoin-otc,clique,0.01,0.1,0.02,0.65
taddy,bitcoin-otc,clique,0.01,0.5,0.14,0.9
taddy,bitcoin-otc,clique,0.01,1,0.106,0.93
taddy,bitcoin-otc,clique,0.05,0.1,0.12,0.75
taddy,bitcoin-otc,clique,0.05,0.5,0.14,0.73
taddy,bitcoin-otc,clique,0.05,1,0.216,0.84
taddy,bitcoin-otc,clique,0.1,0.1,0.181,0.67
taddy,bitcoin-otc,clique,0.1,0.5,0.3,0.81
taddy,bitcoin-otc,clique,0.1,1,0.458,0.88
taddy,digg-homo,random,0.01,0.1,0.036,0.83
taddy,digg-homo,random,0.01,0.5,0.038,0.84
taddy,digg-homo,random,0.01,1,0.039,0.84
taddy,digg-homo,random,0.05,0.1,0.145,0.82
taddy,digg-homo,random,0.05,0.5,0.156,0.84
taddy,digg-homo,random,0.05,1,0.149,0.82
taddy,digg-homo,random,0.1,0.1,0.27,0.84
taddy,digg-homo,random,0.1,0.5,0.29,0.83
taddy,digg-homo,random,0.1,1,0.274,0.84
taddy,digg-homo,bridge,0.01,0.1,0.032,0.81
taddy,digg-homo,bridge,0.01,0.5,0.035,0.84
taddy,digg-homo,bridge,0.01,1,0.035,0.83
taddy,digg-homo,bridge,0.05,0.1,0.082,0.7
taddy,digg-homo,bridge,0.05,0.5,0.071,0.6
taddy,digg-homo,bridge,0.05,1,0.08,0.7
taddy,digg-homo,bridge,0.1,0.1,0.081,0.48
taddy,digg-homo,bridge,0.1,0.5,0.076,0.44
taddy,digg-homo,bridge,0.1,1,0.088,0.52
taddy,digg-homo,path,0.01,0.1,0.01,0.5
taddy,digg-homo,path,0.01,0.5,0.014,0.6
taddy,digg-homo,path,0.01,1,0.018,0.67
taddy,digg-homo,path,0.05,0.1,0.045,0.46
taddy,digg-homo,path,0.05,0.5,0.061,0.58
taddy,digg-homo,path,0.05,1,0.081,0.68
taddy,digg-homo,path,0.1,0.1,0.092,0.52
taddy,digg-homo,path,0.1,0.5,0.12,0.62
taddy,digg-homo,path,0.1,1,0.153,0.68
taddy,digg-homo,burst,0.01,0.1,0.012,0.56
taddy,digg-homo,burst,0.01,0.5,0.012,0.59
taddy,digg-homo,burst,0.01,1,0.016,0.66
taddy,digg-homo,burst,0.05,0.1,0.039,0.43
taddy,digg-homo,burst,0.05,0.5,0.05,0.54
taddy,digg-homo,burst,0.05,1,0.062,0.61
taddy,digg-homo,burst,0.1,0.1,0.069,0.37
taddy,digg-homo,burst,0.1,0.5,0.102,0.57
taddy,digg-homo,burst,0.1,1,0.128,0.65
taddy,digg-homo,clique,0.01,0.1,0.012,0.35
taddy,digg-homo,clique,0.01,0.5,0.01,0.34
taddy,digg-homo,clique,0.01,1,0.014,0.5
taddy,digg-homo,clique,0.05,0.1,0.039,0.29
taddy,digg-homo,clique,0.05,0.5,0.037,0.33
taddy,digg-homo,clique,0.05,1,0.044,0.45
