method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
gcn,bitcoin-otc,random,0.05,0.1,0.06,0.58
gcn,bitcoin-otc,random,0.05,0.5,0.051,0.54
gcn,bitcoin-otc,random,0.05,1,0.06,0.57
gcn,bitcoin-otc,random,0.1,0.1,0.1,0.54
gcn,bitcoin-otc,random,0.1,0.5,0.11,0.57
gcn,bitcoin-otc,random,0.1,1,0.11,0.57
gcn,bitcoin-otc,bridge,0.01,0.1,0.012,0.58
gcn,bitcoin-otc,bridge,0.01,0.5,0.011,0.55
gcn,bitcoin-otc,bridge,0.01,1,0.013,0.6
gcn,bitcoin-otc,bridge,0.05,0.1,0.09,0.69
gcn,bitcoin-otc,bridge,0.05,0.5,0.08,0.66
gcn,bitcoin-otc,bridge,0.05,1,0.083,0.7
gcn,bitcoin-otc,bridge,0.1,0.1,0.21,0.77
gcn,bitcoin-otc,bridge,0.1,0.5,0.19,0.76
gcn,bitcoin-otc,bridge,0.1,1,0.23,0.79
gcn,bitcoin-otc,path,0.01,0.1,0.014,0.65
gcn,bitcoin-otc,path,0.01,0.5,0.02,0.65
gcn,bitcoin-otc,path,0.01,1,0.011,0.6
gcn,bitcoin-otc,path,0.05,0.1,0.06,0.61
gcn,bitcoin-otc,path,0.05,0.5,0.07,0.65
gcn,bitcoin-otc,path,0.05,1,0.074,0.67
gcn,bitcoin-otc,path,0.1,0.1,0.131,0.66
gcn,bitcoin-otc,path,0.1,0.5,0.11,0.59
gcn,bitcoin-otc,path,0.1,1,0.12,0.62
gcn,bitcoin-otc,burst,0.01,0.1,0.024,0.71
gcn,bitcoin-otc,burst,0.01,0.5,0.062,0.89
gcn,bitcoin-otc,burst,0.01,1,0.02,0.59
gcn,bitcoin-otc,burst,0.05,0.1,0.07,0.54
gcn,bitcoin-otc,burst,0.05,0.5,0.09,0.72
gcn,bitcoin-otc,burst,0.05,1,0.07,0.6
gcn,bitcoin-otc,burst,0.1,0.1,0.141,0.67
gcn,bitcoin-otc,burst,0.1,0.5,0.15,0.67
gcn,bitcoin-otc,burst,0.1,1,0.14,0.63
gcn,bitcoin-otc,clique,0.01,0.1,0.01,0.33
gcn,bitcoin-otc,clique,0.01,0.5,0.02,0.55
gcn,bitcoin-otc,clique,0.01,1,0.01,0.17
gcn,bitcoin-otc,clique,0.05,0.1,0.041,0.39
gcn,bitcoin-otc,clique,0.05,0.5,0.04,0.32
gcn,bitcoin-otc,clique,0.05,1,0.04,0.33
gcn,bitcoin-otc,clique,0.1,0.1,0.061,0.28
gcn,bitcoin-otc,clique,0.1,0.5,0.07,0.35
gcn,bitcoin-otc,clique,0.1,1,0.062,0.29
gcn,digg-homo,random,0.01,0.1,0.01,0.27
gcn,digg-homo,random,0.01,0.5,0.01,0.27
gcn,digg-homo,random,0.01,1,0.01,0.26
gcn,digg-homo,random,0.05,0.1,0.03,0.28
gcn,digg-homo,random,0.05,0.5,0.031,0.28
gcn,digg-homo,random,0.05,1,0.03,0.27
gcn,digg-homo,random,0.1,0.1,0.06,0.28
gcn,digg-homo,random,0.1,0.5,0.06,0.27
gcn,digg-homo,random,0.1,1,0.06,0.27
gcn,digg-homo,bridge,0.01,0.1,0.01,0.19
gcn,digg-homo,bridge,0.01,0.5,0.01,0.23
gcn,digg-homo,bridge,0.01,1,0.01,0.2
gcn,digg-homo,bridge,0.05,0.1,0.05,0.47
gcn,digg-homo,bridge,0.05,0.5,0.05,0.45
gcn,digg-homo,bridge,0.05,1,0.05,0.47
gcn,digg-homo,bridge,0.1,0.1,0.14,0.62
gcn,digg-homo,bridge,0.1,0.5,0.144,0.63
gcn,digg-homo,bridge,0.1,1,0.141,0.62
gcn,digg-homo,path,0.01,0.1,0.01,0.36
gcn,digg-homo,path,0.01,0.5,0.01,0.37
gcn,digg-homo,path,0.01,1,0.01,0.34
gcn,digg-homo,path,0.05,0.1,0.035,0.37
gcn,digg-homo,path,0.05,0.5,0.033,0.35
gcn,digg-homo,path,0.05,1,0.034,0.36
gcn,digg-homo,path,0.1,0.1,0.07,0.36
gcn,digg-homo,path,0.1,0.5,0.07,0.37
gcn,digg-homo,path,0.1,1,0.064,0.35
gcn,digg-homo,burst,0.01,0.1,0.01,0.25
gcn,digg-homo,burst,0.01,0.5,0.01,0.27
gcn,digg-homo,burst,0.01,1,0.01,0.21
gcn,digg-homo,burst,0.05,0.1,0.03,0.24
gcn,digg-homo,burst,0.05,0.5,0.031,0.3
gcn,digg-homo,burst,0.05,1,0.03,0.21
gcn,digg-homo,burst,0.1,0.1,0.06,0.26
gcn,digg-homo,burst,0.1,0.5,0.06,0.26
gcn,digg-homo,burst,0.1,1,0.06,0.27
gcn,digg-homo,clique,0.01,0.1,0.01,0.16
gcn,digg-homo,clique,0.01,0.5,0.01,0.11
gcn,digg-homo,clique,0.01,1,0.01,0.11
gcn,digg-homo,clique,0.05,0.1,0.03,0.18
gcn,digg-homo,clique,0.05,0.5,0.03,0.14
gcn,digg-homo,clique,0.05,1,0.03,0.18
gcn,digg-homo,clique,0.1,0.1,0.052,0.12
gcn,digg-homo,clique,0.1,0.5,0.051,0.1
gcn,digg-homo,clique,0.1,1,0.052,0.12
gcn,email-dnc,random,0.01,0.1,0.02,0.68
gcn,email-dnc,random,0.01,0.5,0.02,0.66
gcn,email-dnc,random,0.01,1,0.02,0.66
gcn,email-dnc,random,0.05,0.1,0.1,0.71
gcn,email-dnc,random,0.05,0.5,0.115,0.73
gcn,email-dnc,random,0.05,1,0.11,0.71
gcn,email-dnc,random,0.1,0.1,0.2,0.74
gcn,email-dnc,random,0.1,0.5,0.2,0.74
gcn,email-dnc,random,0.1,1,0.185,0.73
gcn,email-dnc,bridge,0.01,0.1,0.044,0.81
gcn,email-dnc,bridge,0.01,0.5,0.04,0.79
gcn,email-dnc,bridge,0.01,1,0.03,0.75
gcn,email-dnc,bridge,0.05,0.1,0.25,0.88
gcn,email-dnc,bridge,0.05,0.5,0.211,0.85
gcn,email-dnc,bridge,0.05,1,0.21,0.88
gcn,email-dnc,bridge,0.1,0.1,0.37,0.89
gcn,email-dnc,bridge,0.1,0.5,0.39,0.89
gcn,email-dnc,bridge,0.1,1,0.384,0.9
gcn,email-dnc,path,0.01,0.1,0.043,0.86
gcn,email-dnc,path,0.01,0.5,0.043,0.86
gcn,email-dnc,path,0.01,1,0.05,0.86
gcn,email-dnc,path,0.05,0.1,0.16,0.84
gcn,email-dnc,path,0.05,0.5,0.173,0.86
gcn,email-dnc,path,0.05,1,0.18,0.85
gcn,email-dnc,path,0.1,0.1,0.322,0.89
gcn,email-dnc,path,0.1,0.5,0.303,0.88
gcn,email-dnc,path,0.1,1,0.32,0.88
gcn,email-dnc,burst,0.01,0.1,0.141,0.97
gcn,email-dnc,burst,0.01,0.5,0.011,0.49
gcn,email-dnc,burst,0.01,1,0.12,0.96
gcn,email-dnc,burst,0.05,0.1,0.184,0.74
gcn,email-dnc,burst,0.05,0.5,0.14,0.76
gcn,email-dnc,burst,0.05,1,0.114,0.69
gcn,email-dnc,burst,0.1,0.1,0.252,0.8
gcn,email-dnc,burst,0.1,0.5,0.191,0.69
