method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
graphsage,bitcoin-otc,random,0.01,0.1,0.09,0.7
graphsage,bitcoin-otc,random,0.01,0.5,0.07,0.72
graphsage,bitcoin-otc,random,0.01,1,0.072,0.73
graphsage,bitcoin-otc,random,0.05,0.1,0.15,0.67
graphsage,bitcoin-otc,random,0.05,0.5,0.163,0.68
graphsage,bitcoin-otc,random,0.05,1,0.151,0.69
graphsage,bitcoin-otc,random,0.1,0.1,0.291,0.7
graphsage,bitcoin-otc,random,0.1,0.5,0.28,0.71
graphsage,bitcoin-otc,random,0.1,1,0.244,0.67
graphsage,bitcoin-otc,bridge,0.01,0.1,0.051,0.71
graphsage,bitcoin-otc,bridge,0.01,0.5,0.062,0.67
graphsage,bitcoin-otc,bridge,0.01,1,0.05,0.7
graphsage,bitcoin-otc,bridge,0.05,0.1,0.13,0.71
graphsage,bitcoin-otc,bridge,0.05,0.5,0.16,0.74
graphsage,bitcoin-otc,bridge,0.05,1,0.14,0.69
graphsage,bitcoin-otc,bridge,0.1,0.1,0.25,0.75
graphsage,bitcoin-otc,bridge,0.1,0.5,0.2,0.7
graphsage,bitcoin-otc,bridge,0.1,1,0.22,0.71
graphsage,bitcoin-otc,path,0.01,0.1,0.025,0.66
graphsage,bitcoin-otc,path,0.01,0.5,0.04,0.7
graphsage,bitcoin-otc,path,0.01,1,0.05,0.75
graphsage,bitcoin-otc,path,0.05,0.1,0.11,0.65
graphsage,bitcoin-otc,path,0.05,0.5,0.12,0.66
graphsage,bitcoin-otc,path,0.05,1,0.133,0.67
graphsage,bitcoin-otc,path,0.1,0.1,0.21,0.67
graphsage,bitcoin-otc,path,0.1,0.5,0.2,0.68
graphsage,bitcoin-otc,path,0.1,1,0.21,0.65
graphsage,bitcoin-otc,burst,0.01,0.1,0.213,0.84
graphsage,bitcoin-otc,burst,0.01,0.5,0.025,0.53
graphsage,bitcoin-otc,burst,0.01,1,0.04,0.67
graphsage,bitcoin-otc,burst,0.05,0.1,0.142,0.65
graphsage,bitcoin-otc,burst,0.05,0.5,0.09,0.61
graphsage,bitcoin-otc,burst,0.05,1,0.14,0.65
graphsage,bitcoin-otc,burst,0.1,0.1,0.22,0.66
graphsage,bitcoin-otc,burst,0.1,0.5,0.262,0.69
graphsage,bitcoin-otc,burst,0.1,1,0.27,0.69
graphsage,bitcoin-otc,clique,0.01,0.1,0.014,0.57
graphsage,bitcoin-otc,clique,0.01,0.5,0.014,0.6
graphsage,bitcoin-otc,clique,0.01,1,0.02,0.6
graphsage,bitcoin-otc,clique,0.05,0.1,0.052,0.49
graphsage,bitcoin-otc,clique,0.05,0.5,0.06,0.45
graphsage,bitcoin-otc,clique,0.05,1,0.053,0.39
graphsage,bitcoin-otc,clique,0.1,0.1,0.08,0.41
graphsage,bitcoin-otc,clique,0.1,0.5,0.1,0.49
graphsage,bitcoin-otc,clique,0.1,1,0.09,0.44
graphsage,digg-homo,random,0.01,0.1,0.011,0.45
graphsage,digg-homo,random,0.01,0.5,0.012,0.48
graphsage,digg-homo,random,0.01,1,0.01,0.44
graphsage,digg-homo,random,0.05,0.1,0.05,0.45
graphsage,digg-homo,random,0.05,0.5,0.05,0.45
graphsage,digg-homo,random,0.05,1,0.05,0.47
graphsage,digg-homo,random,0.1,0.1,0.084,0.44
graphsage,digg-homo,random,0.1,0.5,0.09,0.45
graphsage,digg-homo,random,0.1,1,0.09,0.45
graphsage,digg-homo,bridge,0.01,0.1,0.011,0.46
graphsage,digg-homo,bridge,0.01,0.5,0.01,0.45
graphsage,digg-homo,bridge,0.01,1,0.01,0.47
graphsage,digg-homo,bridge,0.05,0.1,0.06,0.56
graphsage,digg-homo,bridge,0.05,0.5,0.06,0.56
graphsage,digg-homo,bridge,0.05,1,0.06,0.57
graphsage,digg-homo,bridge,0.1,0.1,0.134,0.63
graphsage,digg-homo,bridge,0.1,0.5,0.134,0.64
graphsage,digg-homo,bridge,0.1,1,0.13,0.63
graphsage,digg-homo,path,0.01,0.1,0.01,0.43
graphsage,digg-homo,path,0.01,0.5,0.01,0.41
graphsage,digg-homo,path,0.01,1,0.01,0.43
graphsage,digg-homo,path,0.05,0.1,0.041,0.44
graphsage,digg-homo,path,0.05,0.5,0.04,0.43
graphsage,digg-homo,path,0.05,1,0.042,0.44
graphsage,digg-homo,path,0.1,0.1,0.082,0.45
graphsage,digg-homo,path,0.1,0.5,0.08,0.43
graphsage,digg-homo,path,0.1,1,0.08,0.44
graphsage,digg-homo,burst,0.01,0.1,0.01,0.43
graphsage,digg-homo,burst,0.01,0.5,0.014,0.51
graphsage,digg-homo,burst,0.01,1,0.011,0.39
graphsage,digg-homo,burst,0.05,0.1,0.05,0.47
graphsage,digg-homo,burst,0.05,0.5,0.05,0.46
graphsage,digg-homo,burst,0.05,1,0.042,0.41
graphsage,digg-homo,burst,0.1,0.1,0.091,0.46
graphsage,digg-homo,burst,0.1,0.5,0.1,0.47
graphsage,digg-homo,burst,0.1,1,0.09,0.45
graphsage,digg-homo,clique,0.01,0.1,0.011,0.39
graphsage,digg-homo,clique,0.01,0.5,0.01,0.38
graphsage,digg-homo,clique,0.01,1,0.01,0.33
graphsage,digg-homo,clique,0.05,0.1,0.041,0.43
graphsage,digg-homo,clique,0.05,0.5,0.04,0.38
graphsage,digg-homo,clique,0.05,1,0.034,0.31
graphsage,digg-homo,clique,0.1,0.1,0.08,0.44
graphsage,digg-homo,clique,0.1,0.5,0.07,0.34
graphsage,digg-homo,clique,0.1,1,0.063,0.33
graphsage,email-dnc,random,0.01,0.1,0.05,0.85
graphsage,email-dnc,random,0.01,0.5,0.06,0.88
graphsage,email-dnc,random,0.01,1,0.09,0.89
graphsage,email-dnc,random,0.05,0.1,0.19,0.84
graphsage,email-dnc,random,0.05,0.5,0.18,0.84
graphsage,email-dnc,random,0.05,1,0.194,0.83
graphsage,email-dnc,random,0.1,0.1,0.332,0.85
graphsage,email-dnc,random,0.1,0.5,0.3,0.81
graphsage,email-dnc,random,0.1,1,0.31,0.82
graphsage,email-dnc,bridge,0.01,0.1,0.03,0.8
graphsage,email-dnc,bridge,0.01,0.5,0.03,0.8
graphsage,email-dnc,bridge,0.01,1,0.04,0.83
graphsage,email-dnc,bridge,0.05,0.1,0.12,0.81
graphsage,email-dnc,bridge,0.05,0.5,0.121,0.81
graphsage,email-dnc,bridge,0.05,1,0.11,0.8
graphsage,email-dnc,bridge,0.1,0.1,0.224,0.83
graphsage,email-dnc,bridge,0.1,0.5,0.2,0.8
graphsage,email-dnc,bridge,0.1,1,0.215,0.82
graphsage,email-dnc,path,0.01,0.1,0.022,0.72
graphsage,email-dnc,path,0.01,0.5,0.03,0.77
graphsage,email-dnc,path,0.01,1,0.022,0.74
graphsage,email-dnc,path,0.05,0.1,0.12,0.72
graphsage,email-dnc,path,0.05,0.5,0.102,0.71
graphsage,email-dnc,path,0.05,1,0.101,0.73
graphsage,email-dnc,path,0.1,0.1,0.244,0.79
graphsage,email-dnc,path,0.1,0.5,0.21,0.75
graphsage,email-dnc,path,0.1,1,0.22,0.77
graphsage,email-dnc,burst,0.01,0.1,0.04,0.84
graphsage,email-dnc,burst,0.01,0.5,0.1,0.95
graphsage,email-dnc,burst,0.01,1,0.04,0.85
graphsage,email-dnc,burst,0.05,0.1,0.24,0.89
graphsage,email-dnc,burst,0.05,0.5,0.36,0.92
graphsage,email-dnc,burst,0.05,1,0.29,0.93
graphsage,email-dnc,burst,0.1,0.1,0.343,0.82
graphsage,email-dnc,burst,0.1,0.5,0.44,0.84
graphsage,email-dnc,burst,0.1,1,0.302,0.76
graphsage,email-dnc,clique,0.01,0.1,0.04,0.75
graphsage,email-dnc,clique,0.01,0.5,0.03,0.72
graphsage,email-dnc,clique,0.01,1,0.023,0.62
graphsage,email-dnc,clique,0.05,0.1,0.072,0.63
graphsage,email-dnc,clique,0.05,0.5,0.07,0.63
graphsage,email-dnc,clique,0.05,1,0.064,0.63
graphsage,email-dnc,clique,0.1,0.1,0.12,0.62
graphsage,email-dnc,clique,0.1,0.5,0.14,0.68
graphsage,email-dnc,clique,0.1,1,0.102,0.53
graphsage,uc-social,random,0.01,0.1,0.04,0.73
graphsage,uc-social,random,0.01,0.5,0.06,0.72
graphsage,uc-social,random,0.01,1,0.031,0.69
graphsage,uc-social,random,0.05,0.1,0.121,0.68
graphsage,uc-social,random,0.05,0.5,0.15,0.72
graphsage,uc-social,random,0.05,1,0.14,0.72
