method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
strgnn,bitcoin-otc,random,0.01,0.1,0.851,0.99
strgnn,bitcoin-otc,random,0.01,0.5,0.834,0.98
strgnn,bitcoin-otc,random,0.01,1,0.832,0.98
strgnn,bitcoin-otc,random,0.05,0.1,0.84,0.99
strgnn,bitcoin-otc,random,0.05,0.5,0.846,0.98
strgnn,bitcoin-otc,random,0.05,1,0.857,0.98
strgnn,bitcoin-otc,random,0.1,0.1,0.9,0.98
strgnn,bitcoin-otc,random,0.1,0.5,0.874,0.98
strgnn,bitcoin-otc,random,0.1,1,0.875,0.97
strgnn,bitcoin-otc,bridge,0.01,0.1,0.481,0.99
strgnn,bitcoin-otc,bridge,0.01,0.5,0.41,0.99
strgnn,bitcoin-otc,bridge,0.01,1,0.51,0.99
strgnn,bitcoin-otc,bridge,0.05,0.1,0.55,0.96
strgnn,bitcoin-otc,bridge,0.05,0.5,0.55,0.96
strgnn,bitcoin-otc,bridge,0.05,1,0.67,0.97
strgnn,bitcoin-otc,bridge,0.1,0.1,0.58,0.93
strgnn,bitcoin-otc,bridge,0.1,0.5,0.57,0.94
strgnn,bitcoin-otc,bridge,0.1,1,0.57,0.92
strgnn,bitcoin-otc,path,0.01,0.1,0.092,0.93
strgnn,bitcoin-otc,path,0.01,0.5,0.172,0.95
strgnn,bitcoin-otc,path,0.01,1,0.232,0.96
strgnn,bitcoin-otc,path,0.05,0.1,0.412,0.96
strgnn,bitcoin-otc,path,0.05,0.5,0.43,0.96
strgnn,bitcoin-otc,path,0.05,1,0.533,0.97
strgnn,bitcoin-otc,path,0.1,0.1,0.61,0.96
strgnn,bitcoin-otc,path,0.1,0.5,0.642,0.97
strgnn,bitcoin-otc,path,0.1,1,0.73,0.97
strgnn,bitcoin-otc,burst,0.01,0.1,0.038,0.81
strgnn,bitcoin-otc,burst,0.01,0.5,0.03,0.77
strgnn,bitcoin-otc,burst,0.01,1,0.023,0.68
strgnn,bitcoin-otc,burst,0.05,0.1,0.095,0.76
strgnn,bitcoin-otc,burst,0.05,0.5,0.093,0.75
strgnn,bitcoin-otc,burst,0.05,1,0.092,0.74
strgnn,bitcoin-otc,burst,0.1,0.1,0.174,0.78
strgnn,bitcoin-otc,burst,0.1,0.5,0.151,0.75
strgnn,bitcoin-otc,burst,0.1,1,0.158,0.74
strgnn,bitcoin-otc,clique,0.01,0.1,0.01,0.03
strgnn,bitcoin-otc,clique,0.01,0.5,0.012,0.22
strgnn,bitcoin-otc,clique,0.01,1,0.01,0.31
